instruction,recoil_type,x,y,depth,s1_photons,s2_electrons,t
1,NR,0,0,0,1,0,0
1,NR,0,0,0,1,0,1000
1,NR,0,0,0,1,0,2000
1,NR,0,0,0,1,0,3000
1,NR,0,0,0,1,0,4000
1,NR,0,0,0,1,0,5000
1,NR,0,0,0,1,0,6000
1,NR,0,0,0,1,0,7000
1,NR,0,0,0,1,0,8000
1,NR,0,0,0,1,0,9000
1,NR,0,0,0,2,0,10000
1,NR,0,0,0,3,0,11000
1,NR,0,0,0,4,0,12000
1,NR,0,0,0,5,0,13000
1,NR,0,0,0,10,0,14000
1,NR,0,0,0,20,0,15000
1,NR,0,0,0,30,0,16000
1,NR,0,0,0,40,0,17000
1,NR,0,0,0,50,0,18000
2,NR,0,0,0,0,1,0
2,NR,0,0,0,0,10,5000
2,NR,0,0,0,0,100,10000
2,NR,0,0,0,0,1000,15000
2,NR,0,0,10,0,10,0
2,NR,0,0,10,0,100,5000
2,NR,0,0,10,0,1000,10000
2,NR,0,0,20,0,10,0
2,NR,0,0,20,0,100,5000
2,NR,0,0,20,0,1000,10000
3,NR,0,0,0,1,0,400000
